"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"407",4e-04,1.0743,-0.1424,-0.2641,0.008404,0.011925,0.002146,4.032064e-06,"0"
"408",4e-04,1.074,-0.144,-0.2671,0.008405,0.011923,-0.002008,4.6498761e-05,"1"
"409",4e-04,1.0752,-0.1447,-0.2808,0.008398,0.011944,0.006819,1.9421649e-05,"0"
"410",4e-04,1.0797,-0.1348,-0.2832,0.008392,0.011957,-0.004407,1.91844e-07,"1"
"411",4e-04,1.0789,-0.1342,-0.2829,0.008391,0.011961,0.000438,0.0001648656,"1"
"412",5e-04,1.062,-0.1342,-0.269,0.008426,0.011991,0.01284,2.6822041e-05,"1"
"413",5e-04,1.0542,-0.1195,-0.26,0.008429,0.012137,0.005179,2.2648081e-05,"0"
"414",5e-04,1.0654,-0.1188,-0.2582,0.00842,0.012466,-0.004759,7.717284e-06,"0"
"415",6e-04,1.0694,-0.1234,-0.2535,0.008416,0.012502,-0.002778,6.6797929e-05,"0"
"416",5e-04,1.0539,-0.1009,-0.2472,0.008428,0.012676,-0.008173,4.6566976e-05,"0"
"417",5e-04,1.0447,-0.097,-0.2575,0.008438,0.01272,-0.006824,5.28529e-07,"0"
"418",5e-04,1.0442,-0.1005,-0.2582,0.008437,0.012716,-0.000727,2.5989604e-05,"0"
"419",5e-04,1.0432,-0.1138,-0.2815,0.00843,0.012748,-0.005098,7.7387209e-05,"0"
"420",4e-04,1.0566,-0.1151,-0.2704,0.008449,0.012981,-0.008797,5.2649536e-05,"1"
"421",4e-04,1.0621,-0.1132,-0.2857,0.008447,0.0131,0.007256,0.000483076441,"0"
"422",3e-04,1.0581,-0.1106,-0.3239,0.008559,0.013173,-0.021979,1.521e-07,"0"
"423",3e-04,1.0587,-0.1116,-0.3232,0.008559,0.013203,-0.00039,6.4516e-06,"0"
"424",3e-04,1.0566,-0.115,-0.3147,0.008545,0.013297,-0.00254,5.764801e-06,"0"
"425",2e-04,1.065,-0.1027,-0.3118,0.008464,0.013324,-0.002401,9.2416e-08,"0"
"426",2e-04,1.0648,-0.1027,-0.3112,0.008464,0.013323,-0.000304,7.4114881e-05,"0"
"427",2e-04,1.0648,-0.0941,-0.295,0.008477,0.013321,-0.008609,0.000151437636,"0"
"428",2e-04,1.0664,-0.0955,-0.2955,0.008512,0.013353,-0.012306,2.5070049e-05,"1"
"429",2e-04,1.0692,-0.0959,-0.2919,0.008517,0.013394,0.005007,2.47009e-05,"0"
"430",1e-04,1.064,-0.091,-0.2954,0.008496,0.013343,-0.00497,6.4722025e-05,"1"
"431",2e-04,1.0629,-0.0845,-0.3183,0.008503,0.013354,0.008045,6.1058596e-05,"1"
"432",2e-04,1.0562,-0.0834,-0.3329,0.008514,0.013353,0.007814,3.407716e-06,"0"
"433",2e-04,1.0552,-0.0869,-0.3382,0.008512,0.013349,-0.001846,0.000156125025,"1"
"434",2e-04,1.0509,-0.0869,-0.3356,0.008538,0.013347,0.012495,1.9998784e-05,"0"
"435",3e-04,1.0444,-0.0983,-0.3393,0.008419,0.013227,-0.004472,5.2229529e-05,"0"
"436",3e-04,1.0497,-0.1059,-0.3766,0.008365,0.013251,-0.007227,0.000382124304,"0"
"437",2e-04,1.0519,-0.0734,-0.4332,0.008449,0.013323,-0.019548,4.443664e-06,"1"
"438",2e-04,1.0502,-0.0736,-0.43,0.00845,0.01345,0.002108,0.001016908321,"1"
"439",4e-04,1.0484,-0.0967,-0.4064,0.008645,0.013544,0.031889,0.000185259321,"0"
